,date,time,tier,type,tournament,score,opponent,team,GF,GA
49,2021-07-29,16:30 EDT,C-Tier,Online,Knights Monthly Gauntlet - July,2 : 0,DIV,Ghost Gaming,2 , 0
50,2021-07-29,14:00 EDT,C-Tier,Online,Knights Monthly Gauntlet - July,2 : 0,BI,Ghost Gaming,2 , 0
51,2021-07-28,18:30 EDT,C-Tier,Online,Knights Monthly Gauntlet - July,2 : 0,BBB,Ghost Gaming,2 , 0
52,2021-07-24,12:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 3 Challengers 2 - Open Qualifier,0 : 2,FaZe,Ghost Gaming,0 , 2
53,2021-07-23,16:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 3 Challengers 2 - Open Qualifier,2 : 0,SQ,Ghost Gaming,2 , 0
54,2021-07-23,14:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 3 Challengers 2 - Open Qualifier,2 : 0,EZ5,Ghost Gaming,2 , 0
55,2021-07-20,22:00 EDT,C-Tier,Online,NSG: Summer Championship - Open 12,0 : 2,CD,Ghost Gaming,0 , 2
56,2021-07-20,19:00 EDT,C-Tier,Online,NSG: Summer Championship - Open 12,2 : 1,VIRT,Ghost Gaming,2 , 1
57,2021-07-20,17:00 EDT,C-Tier,Online,NSG: Summer Championship - Open 12,2 : 0,BF,Ghost Gaming,2 , 0
58,2021-07-19,20:00 EDT,C-Tier,Online,NSG: Summer Championship - Open 12,2 : 1,YFP,Ghost Gaming,2 , 1
59,2021-07-13,19:30 EDT,C-Tier,Online,NSG: Summer Championship - Open 11,0 : 2,YFP,Ghost Gaming,0 , 2
60,2021-07-13,17:00 EDT,C-Tier,Online,NSG: Summer Championship - Open 11,2 : 0,FNR,Ghost Gaming,2 , 0
61,2021-07-12,20:00 EDT,C-Tier,Online,NSG: Summer Championship - Open 11,2 : 0,OOKERS,Ghost Gaming,2 , 0
62,2021-07-02,14:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 3 Challengers 1 - Open Qualifier,1 : 2,T1,Ghost Gaming,1 , 2
63,2021-06-15,18:45 EDT,C-Tier,Online,NSG: Summer Championship - Open 8,1 : 2,RNG,Ghost Gaming,1 , 2
64,2021-06-15,17:00 EDT,C-Tier,Online,NSG: Summer Championship - Open 8,2 : 0,Sbread,Ghost Gaming,2 , 0
65,2021-06-14,20:00 EDT,C-Tier,Online,NSG: Summer Championship - Open 8,2 : 1,FPL-C,Ghost Gaming,2 , 1
66,2021-05-11,17:00 EDT,C-Tier,Online,NSG: Summer Championship - Open 5,0 : 2,S2P,Ghost Gaming,0 , 2
67,2021-05-10,20:00 EDT,C-Tier,Online,NSG: Summer Championship - Open 5,2 : 1,RNG,Ghost Gaming,2 , 1
68,2021-04-16,15:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 2 Challengers 2 - Qualifier,0 : 2,OTW,Ghost Gaming,0 , 2
69,2021-04-03,17:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 2 Challengers 1 - Qualifier,1 : 2,NV,Ghost Gaming,1 , 2
70,2021-04-02,15:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 2 Challengers 1 - Qualifier,2 : 1,KK,Ghost Gaming,2 , 1
71,2021-03-28,13:00 EDT,B-Tier,Online,Nerd Street Gamers: 2021 Monthly March,0 : 2,C9 B,Ghost Gaming,0 , 2
72,2021-03-27,19:00 EDT,B-Tier,Online,Nerd Street Gamers: 2021 Monthly March,2 : 0,DIG,Ghost Gaming,2 , 0
73,2021-03-27,14:00 EDT,B-Tier,Online,Nerd Street Gamers - Monthly March,2 : 1,SSG,Ghost Gaming,2 , 1
74,2021-03-27,13:00 EDT,B-Tier,Online,Nerd Street Gamers - Monthly March,13  :  1,shm,Ghost Gaming,13  ,  1
75,2021-02-26,17:30 PST,A-Tier (Qual.),Online,VCT 2021: North America Stage 1 Challengers 3 - Qualifier,1 : 2,C9 B,Ghost Gaming,1 , 2
76,2021-02-26,15:00 PST,A-Tier (Qual.),Online,VCT 2021: North America Stage 1 Challengers 3 - Qualifier,2 : 1,SL,Ghost Gaming,2 , 1
77,2021-02-12,17:00 PST,A-Tier (Qual.),Online,VCT 2021: North America Stage 1 Challengers 2 - Qualifier,0 : 2,100T,Ghost Gaming,0 , 2
78,2021-02-12,15:00 PST,A-Tier (Qual.),Online,VCT 2021: North America Stage 1 Challengers 2 - Qualifier,2 : 0,COL,Ghost Gaming,2 , 0
79,2021-01-28,16:00 PST,A-Tier (Qual.),Online,VCT 2021: North America Stage 1 Challengers 1 - Qualifier,1 : 2,C9 B,Ghost Gaming,1 , 2
80,2021-01-15,18:00 PST,B-Tier,Online,Nerd Street Gamers - Winter Championship,0 : 2,C9 B,Ghost Gaming,0 , 2
81,2021-01-14,16:30 PST,B-Tier,Online,Nerd Street Gamers - Winter Championship,2 : 1,eU,Ghost Gaming,2 , 1
82,2021-01-14,13:45 PST,B-Tier,Online,Nerd Street Gamers - Winter Championship,0 : 2,NOX,Ghost Gaming,0 , 2
0,2022-06-05,23:00 UTC,A-Tier,Online,VCT 2022: North America Challengers 2 - Group Stage,2 : 0,C9,Luminosity Gaming,2 , 0
1,2022-05-27,18:35 EDT,A-Tier,Online,VCT 2022: North America Challengers 2 - Group Stage,0 : 2,EG,Luminosity Gaming,0 , 2
2,2022-05-20,16:10 EDT,A-Tier,Online,VCT 2022: North America Challengers 2 - Group Stage,2 : 0,FaZe,Luminosity Gaming,2 , 0
3,2022-05-13,18:30 EDT,A-Tier,Online,VCT 2022: North America Challengers 2 - Group Stage,2 : 1,SEN,Luminosity Gaming,2 , 1
4,2022-05-01,22:45 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,2 : 1,V1,Luminosity Gaming,2 , 1
5,2022-05-01,16:10 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,2 : 1,SEN,Luminosity Gaming,2 , 1
6,2022-04-30,21:30 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,2 : 0,BBG.A,Luminosity Gaming,2 , 0
7,2022-04-30,16:10 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,1 : 2,TSM,Luminosity Gaming,1 , 2
8,2022-04-29,21:15 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,2 : 0,Gen.G,Luminosity Gaming,2 , 0
9,2022-03-24,12:10 PST,A-Tier,Online,VCT 2022: North America Stage 1 Challengers,0 : 2,XSET,Luminosity Gaming,0 , 2
10,2022-03-19,15:10 PST,A-Tier,Online,VCT 2022: North America Stage 1 Challengers,0 : 2,TGRD,Luminosity Gaming,0 , 2
11,2022-03-18,12:10 PST,A-Tier,Online,VCT 2022: North America Stage 1 Challengers,2 : 1,V1,Luminosity Gaming,2 , 1
12,2022-03-12,15:40 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,0 : 2,XSET,Luminosity Gaming,0 , 2
13,2022-03-05,13:10 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,0 : 2,C9,Luminosity Gaming,0 , 2
14,2022-02-27,13:10 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,2 : 1,100T,Luminosity Gaming,2 , 1
15,2022-02-18,16:30 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,2 : 1,EG,Luminosity Gaming,2 , 1
16,2022-02-12,17:05 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,0 : 2,TGRD,Luminosity Gaming,0 , 2
17,2022-02-07,21:00 EST,B-Tier,Online,Nerd Street Gamers: Winter Championship - Group Stage,1 : 2,COL,Luminosity Gaming,1 , 2
18,2022-02-07,18:00 EST,B-Tier,Online,Nerd Street Gamers: Winter Championship - Group Stage,0 : 2,NRG,Luminosity Gaming,0 , 2
19,2022-02-07,17:00 EST,B-Tier,Online,Nerd Street Gamers: Winter Championship - Group Stage,13  :  9,COL,Luminosity Gaming,13  ,  9
20,2022-02-06,18:00 EST,A-Tier (Qual.),Online,VCT 2022: NA Stage 1 Challengers - Open Qualifier 2,2 : 1,SQ,Luminosity Gaming,2 , 1
21,2022-02-06,15:00 EST,A-Tier (Qual.),Online,VCT 2022: NA Stage 1 Challengers - Open Qualifier 2,2 : 1,KCP,Luminosity Gaming,2 , 1
22,2022-02-05,21:20 EST,A-Tier (Qual.),Online,VCT 2022: NA Stage 1 Challengers - Open Qualifier 2,2 : 0,BA,Luminosity Gaming,2 , 0
23,2022-02-05,15:05 EST,A-Tier (Qual.),Online,VCT 2022: NA Stage 1 Challengers - Open Qualifier 2,1 : 2,RISE,Luminosity Gaming,1 , 2
24,2022-02-04,20:15 EST,A-Tier (Qual.),Online,VCT 2022: NA Stage 1 Challengers - Open Qualifier 2,2 : 1,VIRT,Luminosity Gaming,2 , 1
25,2022-01-29,18:00 EST,A-Tier (Qual.),Online,VCT 2022: NA Stage 1 Challengers - Open Qualifier 1,1 : 2,TSM,Luminosity Gaming,1 , 2
26,2022-01-28,21:30 EST,A-Tier (Qual.),Online,VCT 2022: NA Stage 1 Challengers - Open Qualifier 1,0 : 2,TGRD,Luminosity Gaming,0 , 2
27,2022-01-04,23:25 EST,C-Tier,Online,NSG: Winter Championship - Open 12,2 : 1,Ex-FB,Luminosity Gaming,2 , 1
28,2022-01-04,20:15 EST,C-Tier,Online,NSG: Winter Championship - Open 12,2 : 1,RNG,Luminosity Gaming,2 , 1
29,2022-01-04,17:05 EST,C-Tier,Online,NSG: Winter Championship - Open 12,2 : 1,PK,Luminosity Gaming,2 , 1
30,2022-01-03,21:25 EST,C-Tier,Online,NSG: Winter Championship - Open 12,2 : 0,PR,Luminosity Gaming,2 , 0
31,2021-10-28,14:50 PDT,A-Tier,Online/offline,VCT 2021: North America Last Chance Qualifier,0 : 2,Gen.G,Luminosity Gaming,0 , 2
32,2021-10-12,16:00 PDT,A-Tier,Online/offline,VCT 2021: North America Last Chance Qualifier,1 : 2,XSET,Luminosity Gaming,1 , 2
33,2021-08-12,14:00 PDT,A-Tier,Online,VCT 2021: North America Stage 3 Challengers Playoffs,1 : 2,FaZe,Luminosity Gaming,1 , 2
34,2021-08-11,15:30 PDT,A-Tier,Online,VCT 2021: North America Stage 3 Challengers Playoffs,0 : 2,XSET,Luminosity Gaming,0 , 2
35,2021-07-31,17:00 PDT,A-Tier,Online,VCT 2021: North America Stage 3 Challengers 2,0 : 2,FaZe,Luminosity Gaming,0 , 2
36,2021-07-31,12:00 PDT,A-Tier,Online,VCT 2021: North America Stage 3 Challengers 2,0 : 2,TSM,Luminosity Gaming,0 , 2
37,2021-07-30,14:00 PDT,A-Tier,Online,VCT 2021: North America Stage 3 Challengers 2,2 : 0,RISE,Luminosity Gaming,2 , 0
38,2021-07-29,16:15 PDT,A-Tier,Online,VCT 2021: North America Stage 3 Challengers 2,2 : 1,KCP,Luminosity Gaming,2 , 1
39,2021-07-25,14:15 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 3 Challengers 2 - Open Qualifier,2 : 0,C9 B,Luminosity Gaming,2 , 0
40,2021-07-23,16:45 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 3 Challengers 2 - Open Qualifier,2 : 0,RES,Luminosity Gaming,2 , 0
41,2021-07-23,14:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 3 Challengers 2 - Open Qualifier,2 : 0,P11,Luminosity Gaming,2 , 0
42,2021-07-04,12:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 3 Challengers 1 - Open Qualifier,0 : 2,V1,Luminosity Gaming,0 , 2
43,2021-07-02,14:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 3 Challengers 1 - Open Qualifier,2 : 0,COL,Luminosity Gaming,2 , 0
44,2021-04-17,17:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 2 Challengers 2 - Qualifier,0 : 2,NRG,Luminosity Gaming,0 , 2
45,2021-04-16,17:30 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 2 Challengers 2 - Qualifier,2 : 1,S2P,Luminosity Gaming,2 , 1
46,2021-04-16,15:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 2 Challengers 2 - Qualifier,2 : 1,Akella,Luminosity Gaming,2 , 1
47,2021-04-02,15:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 2 Challengers 1 - Qualifier,0 : 2,NBL,Luminosity Gaming,0 , 2
48,2021-03-19,15:30 PDT,A-Tier,Online,VCT 2021: North America Stage 1 Masters,0 : 2,NV,Luminosity Gaming,0 , 2
49,2021-03-13,14:15 PST,A-Tier,Online,VCT 2021: North America Stage 1 Masters,2 : 1,IMT,Luminosity Gaming,2 , 1
50,2021-03-12,12:00 PST,A-Tier,Online,VCT 2021: North America Stage 1 Masters,1 : 2,SEN,Luminosity Gaming,1 , 2
51,2021-03-06,19:45 EST,A-Tier,Online,VCT 2021: North America Stage 1 Challengers 3,0 : 2,100T,Luminosity Gaming,0 , 2
52,2021-03-06,15:00 EST,A-Tier,Online,VCT 2021: North America Stage 1 Challengers 3,0 : 2,FaZe,Luminosity Gaming,0 , 2
53,2021-03-05,15:00 EST,A-Tier,Online,VCT 2021: North America Stage 1 Challengers 3,2 : 0,TSM,Luminosity Gaming,2 , 0
54,2021-03-04,15:00 EST,A-Tier,Online,VCT 2021: North America Stage 1 Challengers 3,2 : 0,KK,Luminosity Gaming,2 , 0
55,2021-02-21,18:30 EST,A-Tier,Online,VCT 2021: North America Stage 1 Challengers 2,0 : 2,XSET,Luminosity Gaming,0 , 2
56,2021-02-21,15:00 EST,A-Tier,Online,VCT 2021: North America Stage 1 Challengers 2,1 : 2,IMT,Luminosity Gaming,1 , 2
57,2021-02-20,17:00 EST,A-Tier,Online,VCT 2021: North America Stage 1 Challengers 2,2 : 1,100T,Luminosity Gaming,2 , 1
58,2021-02-06,16:45 PST,A-Tier,Online,VCT 2021: North America Stage 1 Challengers 1,1 : 2,SEN,Luminosity Gaming,1 , 2
59,2021-02-06,12:00 PST,A-Tier,Online,VCT 2021: North America Stage 1 Challengers 1,1 : 2,IMT,Luminosity Gaming,1 , 2
60,2021-02-05,12:00 PST,A-Tier,Online,VCT 2021: North America Stage 1 Challengers 1,2 : 0,NV,Luminosity Gaming,2 , 0
61,2021-02-04,14:15 PST,A-Tier,Online,VCT 2021: North America Stage 1 Challengers 1,2 : 0,SEN,Luminosity Gaming,2 , 0
62,2021-01-29,16:45 PST,A-Tier (Qual.),Online,VCT 2021: North America Stage 1 Challengers 1 - Qualifier,0 : 2,NV,Luminosity Gaming,0 , 2
63,2021-01-28,19:00 PST,A-Tier (Qual.),Online,VCT 2021: North America Stage 1 Challengers 1 - Qualifier,2 : 1,FaZe,Luminosity Gaming,2 , 1
64,2021-01-28,16:00 PST,A-Tier (Qual.),Online,VCT 2021: North America Stage 1 Challengers 1 - Qualifier,2 : 0,Penguin,Luminosity Gaming,2 , 0
65,2021-01-17,14:00 PST,B-Tier,Online,Nerd Street Gamers - Winter Championship,3 : 2,SEN,Luminosity Gaming,3 , 2
66,2021-01-16,18:00 PST,B-Tier,Online,Nerd Street Gamers - Winter Championship,2 : 1,NOX,Luminosity Gaming,2 , 1
67,2021-01-16,14:45 PST,B-Tier,Online,Nerd Street Gamers - Winter Championship,2 : 1,NRG,Luminosity Gaming,2 , 1
68,2021-01-15,18:00 PST,B-Tier,Online,Nerd Street Gamers - Winter Championship,2 : 1,XSET,Luminosity Gaming,2 , 1
69,2021-01-14,15:30 PST,B-Tier,Online,Nerd Street Gamers - Winter Championship,2 : 1,2D,Luminosity Gaming,2 , 1
70,2021-01-14,12:00 PST,B-Tier,Online,Nerd Street Gamers - Winter Championship,0 : 2,XSET,Luminosity Gaming,0 , 2
71,2021-01-10,14:30 PST,B-Tier,Online,NSG x Complexity Invitational,2 : 1,NOX,Luminosity Gaming,2 , 1
72,2021-01-10,12:00 PST,B-Tier,Online,NSG x Complexity Invitational,0 : 2,XSET,Luminosity Gaming,0 , 2
73,2021-01-10,10:00 PST,B-Tier,Online,NSG x Complexity Invitational,2 : 0,COL,Luminosity Gaming,2 , 0
74,2021-01-09,17:00 PST,B-Tier,Online,NSG x Complexity Invitational,2 : 0,ABX,Luminosity Gaming,2 , 0
75,2021-01-09,14:00 PST,B-Tier,Online,NSG x Complexity Invitational,2 : 0,CN,Luminosity Gaming,2 , 0
76,2021-01-09,13:00 PST,B-Tier,Online,NSG x Complexity Invitational,11  :  13,NOX,Luminosity Gaming,11  ,  13
77,2020-11-21,19:00 EST,A-Tier (Qual.),Online,First Strike North America - UMG Tournament,0 : 2,IMT,Luminosity Gaming,0 , 2
78,2020-11-20,12:00 EST,A-Tier,Online,First Strike North America - UMG Tournament,2 : 0,SSG,Luminosity Gaming,2 , 0
79,2020-11-19,15:00 EST,A-Tier,Online,First Strike North America - UMG Tournament,2 : 0,NOX,Luminosity Gaming,2 , 0
80,2020-11-14,15:30 PST,A-Tier (Qual.),Online,UMG Tournament - Qualifier #2,2 : 1,beast,Luminosity Gaming,2 , 1
81,2020-11-14,12:00 PST,A-Tier (Qual.),Online,UMG Tournament - Qualifier #2,2 : 0,Mystify,Luminosity Gaming,2 , 0
82,2020-11-13,18:45 PST,A-Tier (Qual.),Online,UMG Tournament - Qualifier #2,2 : 0,Kudos,Luminosity Gaming,2 , 0
83,2020-11-12,12:00 PST,A-Tier (Qual.),Online,UMG Tournament - Qualifier #1,1 : 2,SSG,Luminosity Gaming,1 , 2
84,2020-11-11,17:00 PST,A-Tier (Qual.),Online,UMG Tournament - Qualifier #1,2 : 0,TP,Luminosity Gaming,2 , 0
85,2020-11-06,15:50 EST,A-Tier,Online,First Strike North America - NSG Tournament,1 : 2,100T,Luminosity Gaming,1 , 2
86,2020-11-04,20:15 EST,A-Tier,Online,First Strike North America - NSG Tournament,2 : 1,XSET,Luminosity Gaming,2 , 1
87,2020-11-04,15:00 EST,A-Tier,Online,First Strike North America - NSG Tournament,0 : 2,100T,Luminosity Gaming,0 , 2
88,2020-10-27,17:30 PDT,A-Tier (Qual.),Online,NSG Tournament - Qualifier,1 : 2,T1,Luminosity Gaming,1 , 2
89,2020-10-27,14:00 PDT,A-Tier (Qual.),Online,NSG Tournament - Qualifier,2 : 0,ABX,Luminosity Gaming,2 , 0
90,2020-10-17,14:00 EDT,B-Tier,Online,NSG x Renegades Invitational,6  :  13,MMG,Luminosity Gaming,6  ,  13
91,2020-10-17,13:00 EDT,B-Tier,Online,NSG x Renegades Invitational,2  :  13,SSG,Luminosity Gaming,2  ,  13
92,2020-09-27,18:00 EDT,B-Tier,Online,Nerd Street Gamers - Monthly September,0 : 2,China N.,Luminosity Gaming,0 , 2
93,2020-09-27,15:30 EDT,B-Tier,Online,Nerd Street Gamers - Monthly September,2 : 1,2D,Luminosity Gaming,2 , 1
94,2020-09-27,13:00 EDT,B-Tier,Online,Nerd Street Gamers - Monthly September,2 : 0,Mystify,Luminosity Gaming,2 , 0
95,2020-09-26,19:30 EDT,B-Tier,Online,Nerd Street Gamers - Monthly September,2 : 0,PB,Luminosity Gaming,2 , 0
96,2020-09-26,11:00 PDT,B-Tier,Online,Nerd Street Gamers - Monthly September,2 : 0,Elevate,Luminosity Gaming,2 , 0
97,2020-09-26,10:00 PDT,B-Tier,Online,Nerd Street Gamers - Monthly September,13  :  6,Flux,Luminosity Gaming,13  ,  6
98,2020-09-13,17:45 EDT,B-Tier,Online,Pulse Series,2 : 3,MMG,Luminosity Gaming,2 , 3
99,2020-09-13,15:00 EDT,B-Tier,Online,Pulse Series,2 : 0,beast,Luminosity Gaming,2 , 0
100,2020-09-12,16:15 EDT,B-Tier,Online,Pulse Series,2 : 1,Morning,Luminosity Gaming,2 , 1
101,2020-09-12,14:00 EDT,B-Tier,Online,Pulse Series,2 : 0,China N.,Luminosity Gaming,2 , 0
102,2020-09-11,20:00 EDT,B-Tier,Online,Pulse Series,1 : 2,beast,Luminosity Gaming,1 , 2
103,2020-09-11,18:00 EDT,B-Tier,Online,Pulse Series,2 : 1,RISE,Luminosity Gaming,2 , 1
104,2020-09-10,16:00 EDT,B-Tier,Online,Pulse Series,13  :  9,Bot,Luminosity Gaming,13  ,  9
105,2020-09-10,15:00 EDT,B-Tier,Online,Pulse Series,13  :  4,BBG,Luminosity Gaming,13  ,  4
106,2020-09-10,14:00 EDT,B-Tier,Online,Pulse Series,10  :  13,Morning,Luminosity Gaming,10  ,  13
107,2020-08-16,11:00 PST,B-Tier,Online,Pittsburgh Knights Invitational Gauntlet Series,13  :  8,SUP,Luminosity Gaming,13  ,  8
108,2020-08-16,10:00 PST,B-Tier,Online,Pittsburgh Knights Invitational Gauntlet Series,8  :  13,COL,Luminosity Gaming,8  ,  13
109,2020-08-16,09:00 PST,B-Tier,Online,Pittsburgh Knights Invitational Gauntlet Series,7  :  13,C9,Luminosity Gaming,7  ,  13
0,2022-06-05,20:00 UTC,A-Tier,Online,VCT 2022: North America Challengers 2 - Group Stage,0 : 2,100T,NRG,0 , 2
1,2022-05-29,18:10 EDT,A-Tier,Online,VCT 2022: North America Challengers 2 - Group Stage,0 : 2,GHST,NRG,0 , 2
2,2022-05-22,19:30 EDT,A-Tier,Online,VCT 2022: North America Challengers 2 - Group Stage,0 : 2,XSET,NRG,0 , 2
3,2022-05-15,16:10 EDT,A-Tier,Online,VCT 2022: North America Challengers 2 - Group Stage,2 : 0,TSM,NRG,2 , 0
4,2022-04-30,19:00 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,2 : 0,V1,NRG,2 , 0
5,2022-04-30,16:15 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,2 : 0,PK,NRG,2 , 0
6,2022-04-29,20:40 EDT,A-Tier (Qual.),Online,VCT 2022: NA Stage 2 Challengers - Open Qualifier 1,2 : 0,ZMM.B,NRG,2 , 0
7,2022-03-11,15:55 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,2 : 0,RISE,NRG,2 , 0
8,2022-03-05,15:35 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,1 : 2,PK,NRG,1 , 2
9,2022-02-27,16:55 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,1 : 2,V1,NRG,1 , 2
10,2022-02-20,13:20 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,0 : 2,OPTC,NRG,0 , 2
11,2022-02-12,13:00 PST,A-Tier,Online,VCT 2022: North America Challengers 1 - Group Stage,1 : 2,SEN,NRG,1 , 2
12,2022-02-09,17:00 EST,B-Tier,Online,NSG: Winter Championship,0 : 2,XSET,NRG,0 , 2
13,2022-02-08,18:00 EST,B-Tier,Online,Nerd Street Gamers: Winter Championship - Group Stage,2 : 1,KCP,NRG,2 , 1
14,2022-02-08,17:00 EST,B-Tier,Online,Nerd Street Gamers: Winter Championship - Group Stage,13  :  8,PK,NRG,13  ,  8
15,2022-02-07,18:00 EST,B-Tier,Online,Nerd Street Gamers: Winter Championship - Group Stage,2 : 0,LG,NRG,2 , 0
16,2022-02-07,17:00 EST,B-Tier,Online,Nerd Street Gamers: Winter Championship - Group Stage,13  :  8,PK.A,NRG,13  ,  8
17,2022-02-01,19:50 EST,B-Tier (Qual.),Online,NSG: Winter Championship - Last Chance Qualifier,2 : 0,RKT,NRG,2 , 0
18,2022-01-30,20:35 EST,A-Tier (Qual.),Online,VCT 2022: NA Stage 1 Challengers - Open Qualifier 1,2 : 0,RISE,NRG,2 , 0
19,2022-01-30,16:00 EST,A-Tier (Qual.),Online,VCT 2022: NA Stage 1 Challengers - Open Qualifier 1,2 : 0,PK,NRG,2 , 0
20,2022-01-29,22:10 EST,A-Tier (Qual.),Online,VCT 2022: NA Stage 1 Challengers - Open Qualifier 1,2 : 1,KCP,NRG,2 , 1
21,2022-01-29,16:00 EST,A-Tier (Qual.),Online,VCT 2022: NA Stage 1 Challengers - Open Qualifier 1,0 : 2,XSET,NRG,0 , 2
22,2022-01-28,20:15 EST,A-Tier (Qual.),Online,VCT 2022: NA Stage 1 Challengers - Open Qualifier 1,2 : 0,ABX,NRG,2 , 0
23,2022-01-23,17:40 EST,B-Tier,Online,Knights Arena Valorampage,1 : 2,C9,NRG,1 , 2
24,2022-01-22,19:05 EST,B-Tier,Online,Knights Arena Valorampage,2 : 0,RNG,NRG,2 , 0
25,2022-01-21,19:50 EST,B-Tier,Online,Knights Arena Valorampage,2 : 1,BBG,NRG,2 , 1
26,2022-01-21,17:00 EST,B-Tier,Online,Knights Arena Valorampage,2 : 0,RAD,NRG,2 , 0
27,2022-01-21,00:30 CET,B-Tier,Online,Knights Arena Valorampage - Group Stage,13  :  11,DZ,NRG,13  ,  11
28,2022-01-20,23:00 CET,B-Tier,Online,Knights Arena Valorampage - Group Stage,13  :  2,STA,NRG,13  ,  2
29,2021-11-30,22:00 EST,C-Tier,Online,NSG: Winter Championship - Open 7,1 : 2,XSET,NRG,1 , 2
30,2021-11-30,19:50 EST,C-Tier,Online,NSG: Winter Championship - Open 7,2 : 0,Ex-FB,NRG,2 , 0
31,2021-11-30,17:00 EST,C-Tier,Online,NSG: Winter Championship - Open 7,2 : 0,RNG,NRG,2 , 0
32,2021-11-29,21:00 EST,C-Tier,Online,NSG: Winter Championship - Open 7,2 : 1,SoaR,NRG,2 , 1
33,2021-11-21,14:00 EST,Show M.,Online,Tyler1's Money Match,2 : 0,T1,NRG,2 , 0
34,2021-11-14,13:00 PDT,B-Tier,Online,Community Gaming Valorant Elite Showdown,0 : 2,KCP,NRG,0 , 2
35,2021-11-13,19:00 PDT,B-Tier,Online,Community Gaming Valorant Elite Showdown,2 : 0,GHST,NRG,2 , 0
36,2021-11-13,15:00 PDT,B-Tier,Online,Community Gaming Valorant Elite Showdown,2 : 1,AKRW,NRG,2 , 1
37,2021-08-22,12:00 PDT,B-Tier,Online,Nerd Street Gamers: Summer Championship,1 : 3,C9 B,NRG,1 , 3
38,2021-08-21,16:15 PDT,B-Tier,Online,Nerd Street Gamers: Summer Championship,2 : 1,SS,NRG,2 , 1
39,2021-08-21,12:00 PDT,B-Tier,Online,Nerd Street Gamers: Summer Championship,2 : 0,COL,NRG,2 , 0
40,2021-08-20,12:00 PDT,B-Tier,Online,Nerd Street Gamers: Summer Championship,2 : 1,TS,NRG,2 , 1
41,2021-08-19,14:30 PDT,B-Tier,Online,Nerd Street Gamers - Summer Championship,2 : 1,EG,NRG,2 , 1
42,2021-08-19,12:00 PDT,B-Tier,Online,Nerd Street Gamers - Summer Championship,2 : 0,YFP,NRG,2 , 0
43,2021-08-10,13:00 PDT,B-Tier (Qual.),Online,NSG: Summer Championship - Last Chance Qualifier,2 : 0,OA,NRG,2 , 0
44,2021-07-23,14:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 3 Challengers 2 - Open Qualifier,1 : 2,RES,NRG,1 , 2
45,2021-07-13,17:00 EDT,C-Tier,Online,NSG: Summer Championship - Open 11,1 : 2,EZ5,NRG,1 , 2
46,2021-07-12,20:00 EDT,C-Tier,Online,NSG: Summer Championship - Open 11,2 : 0,DZ,NRG,2 , 0
47,2021-07-02,14:00 PDT,A-Tier (Qual.),Online,VCT 2021: North America Stage 3 Challengers 1 - Open Qualifier,0 : 2,VIRT,NRG,0 , 2
48,2021-04-30,15:10 PDT,A-Tier,Online,VCT 2021: North America Stage 2 Challengers Finals,0 : 2,V1,NRG,0 , 2
49,2021-04-30,13:00 PDT,A-Tier,Online,VCT 2021: North America Stage 2 Challengers Finals,0 : 2,C9 B,NRG,0 , 2
